"coupling","score","method","weighted","q","n_runs","fdp_mean","fdp_sd","power_mean","power_sd","nrej_mean","nrej_sd"
"independent","regression","wBH","Yes",0.2,20,0.0224426481622166,0.010658523471473,0.593109868729108,0.0714362709877446,586.95,76.9774232110333
"independent","regression","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"independent","regression","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"independent","regression","wCS_hete","Yes",0.1,20,0.00794281826944811,0.0059182416493424,0.376546098106176,0.118165789545204,366.85,116.414990443671
"independent","regression","wCS_hete","Yes",0.2,20,0.02247515627989,0.0108732744045366,0.554576333850021,0.0863539834373339,548.5,88.5036425060692
"independent","regression","wCS_homo","Yes",0.1,20,0.00808225653555484,0.00641874188977948,0.418945236495704,0.10771479821636,408.45,106.334365886204
"independent","regression","wCS_homo","Yes",0.2,20,0.0219798865089032,0.0102506499609918,0.590892321095959,0.0708225572235576,584.45,76.1573682373682
"negative","cqr_0.2","uBH","No",0.1,20,0.00183129053279579,0.00212802814868365,0.504950391335158,0.0376528054581723,459.1,35.5141187639359
"negative","cqr_0.2","uBH","No",0.2,20,0.00532988724020296,0.00255282499496843,0.677695114921942,0.0560739917756036,618.25,51.9330287359038
"negative","cqr_0.2","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"negative","cqr_0.2","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"negative","cqr_0.2","uCS_hete","No",0.1,20,0.00183813177078012,0.00213359349408224,0.502449313671533,0.0363045273350832,456.85,34.664216343902
"negative","cqr_0.2","uCS_hete","No",0.2,20,0.00534745576770667,0.00255490901185608,0.675290750345166,0.0558452211803489,616.05,51.5082773113113
"negative","cqr_0.2","uCS_homo","No",0.1,20,0.00183813177078012,0.00213359349408224,0.502449313671533,0.0363045273350832,456.85,34.664216343902
"negative","cqr_0.2","uCS_homo","No",0.2,20,0.00534745576770667,0.00255490901185608,0.675290750345166,0.0558452211803489,616.05,51.5082773113113
"negative","cqr_0.2","wBH","Yes",0.1,20,0.00204491042919445,0.00230848783445176,0.500895279613854,0.0393191821198168,455.45,36.4568598699744
"negative","cqr_0.2","wBH","Yes",0.2,20,0.0046989494222303,0.00247159443916465,0.658410192962682,0.0636283470822803,600.2,57.7887259083055
"negative","cqr_0.2","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"negative","cqr_0.2","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"negative","cqr_0.2","wCS_hete","Yes",0.1,20,0.00155631375881517,0.00203591261365695,0.420154033997084,0.128319074223879,382.15,116.420867635715
"negative","cqr_0.2","wCS_hete","Yes",0.2,20,0.00472313623433078,0.002483542643663,0.640788373559399,0.0671881695930271,584.25,62.0711603513936
"negative","cqr_0.2","wCS_homo","Yes",0.1,20,0.00197351350333721,0.00230137695987797,0.493325456669844,0.0385574778819463,448.55,35.9363106210506
"negative","cqr_0.2","wCS_homo","Yes",0.2,20,0.00446402327379015,0.00268784567897519,0.622976231458018,0.159866215105892,567.95,145.693793893039
"negative","cqr_0.5","uBH","No",0.1,20,0.00194986748369118,0.00245823082087993,0.48434321314967,0.0488823899194047,440.3,44.1624989758219
"negative","cqr_0.5","uBH","No",0.2,20,0.0054177697736117,0.00314123894342819,0.659997862129466,0.0545500322545692,602.05,49.0600866821815
"negative","cqr_0.5","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"negative","cqr_0.5","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"negative","cqr_0.5","uCS_hete","No",0.1,20,0.00195891928467707,0.00246511377623176,0.481851830645808,0.0474138833237367,438.05,42.9791565149532
"negative","cqr_0.5","uCS_hete","No",0.2,20,0.00542622639224134,0.00314259064654792,0.658895318352041,0.0549042685632235,601.05,49.4011240017024
"negative","cqr_0.5","uCS_homo","No",0.1,20,0.00195891928467707,0.00246511377623176,0.481851830645808,0.0474138833237367,438.05,42.9791565149532
"negative","cqr_0.5","uCS_homo","No",0.2,20,0.00542622639224134,0.00314259064654792,0.658895318352041,0.0549042685632235,601.05,49.4011240017024
"negative","cqr_0.5","wBH","Yes",0.1,20,0.00221092508455718,0.00246154878074593,0.471105446130618,0.0586126025668048,428.3,52.5418129232629
"negative","cqr_0.5","wBH","Yes",0.2,20,0.00525092478281212,0.00305468536554272,0.633038070885566,0.0686988953587926,577.3,61.471516724586
"negative","cqr_0.5","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"negative","cqr_0.5","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"negative","cqr_0.5","wCS_hete","Yes",0.1,20,0.00185983549747836,0.00258497406928369,0.407867045893727,0.141020276158465,371.4,128.741846956981
"negative","cqr_0.5","wCS_hete","Yes",0.2,20,0.00477281444016502,0.00306590089771581,0.569255573234356,0.146962372981092,518.75,134.452838532601
"negative","cqr_0.5","wCS_homo","Yes",0.1,20,0.00209214273618518,0.00251139194252855,0.468562097158636,0.0574603721917428,425.95,51.6287098832668
"negative","cqr_0.5","wCS_homo","Yes",0.2,20,0.00527844715205909,0.00305903019362909,0.629078572435306,0.0682254712585734,573.7,61.0177713543573
"negative","regression","uBH","No",0.1,20,0.00471486395104476,0.00338000348353091,0.478772046156539,0.0470595045554403,436.55,43.6824365524394
"negative","regression","uBH","No",0.2,20,0.00793395818220994,0.00346812685653548,0.658573166198317,0.0572644792191435,602.35,52.6040572779825
"negative","regression","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"negative","regression","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"negative","regression","uCS_hete","No",0.1,20,0.00474377253586867,0.00338901965138636,0.475649650847276,0.0477986282037293,433.7,44.1171884393087
"negative","regression","uCS_hete","No",0.2,20,0.00794995203572432,0.00347681780947301,0.657300685613652,0.0564840487659214,601.2,51.9337634826678
"negative","regression","uCS_homo","No",0.1,20,0.00474377253586867,0.00338901965138636,0.475649650847276,0.0477986282037293,433.7,44.1171884393087
"negative","regression","uCS_homo","No",0.2,20,0.00794995203572432,0.00347681780947301,0.657300685613652,0.0564840487659214,601.2,51.9337634826678
"negative","regression","wBH","Yes",0.1,20,0.00432666916594059,0.00312190571888043,0.466576914200111,0.0493311505544154,425.25,45.5445126396029
"negative","regression","wBH","Yes",0.2,20,0.00777006542972968,0.00385892896553561,0.630269567356321,0.0741063226655848,576.3,67.4904281712366
"negative","regression","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"negative","regression","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"negative","regression","wCS_hete","Yes",0.1,20,0.00395634505621006,0.00308254287668923,0.440684288813392,0.0488412722022952,401.6,46.2116412765624
"negative","regression","wCS_hete","Yes",0.2,20,0.00781936982449726,0.00456228400838083,0.547027210877319,0.17515814885736,500.55,159.963638960464
"negative","regression","wCS_homo","Yes",0.1,20,0.00423088559950574,0.00315714762460087,0.461406982021224,0.048529970619539,420.5,44.8735064258117
"negative","regression","wCS_homo","Yes",0.2,20,0.0077953461141164,0.00387284578365057,0.628165459721933,0.0740376489490735,574.4,67.5304219943637
"positive","cqr_0.2","uBH","No",0.1,20,0.00803836523853473,0.00549627128311875,0.411629129800048,0.0326752560783023,467.85,38.5039642525013
"positive","cqr_0.2","uBH","No",0.2,20,0.020481099458608,0.00746762460505747,0.549658205042216,0.0344642383713244,632.75,43.1897587763337
"positive","cqr_0.2","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"positive","cqr_0.2","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"positive","cqr_0.2","uCS_hete","No",0.1,20,0.00806146616327648,0.00551820807264349,0.410479826334708,0.0329516079748614,466.55,38.7359142480409
"positive","cqr_0.2","uCS_hete","No",0.2,20,0.0202626051923151,0.0075243017685702,0.548594289043614,0.0353939330531097,631.4,44.366179627469
"positive","cqr_0.2","uCS_homo","No",0.1,20,0.00806146616327648,0.00551820807264349,0.410479826334708,0.0329516079748614,466.55,38.7359142480409
"positive","cqr_0.2","uCS_homo","No",0.2,20,0.0202626051923151,0.0075243017685702,0.548594289043614,0.0353939330531097,631.4,44.366179627469
"positive","cqr_0.2","wBH","Yes",0.1,20,0.00789323941578775,0.00422581612199978,0.405551046741854,0.0334604240852414,460.9,39.7543774484746
"positive","cqr_0.2","wBH","Yes",0.2,20,0.0193620775617013,0.00819276249537633,0.53500516732176,0.0432824341500351,615.2,52.564346531806
"positive","cqr_0.2","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"positive","cqr_0.2","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"positive","cqr_0.2","wCS_hete","Yes",0.1,20,0.00661428320291174,0.00506528712770199,0.356672597668126,0.105408900907366,405.05,120.419212927611
"positive","cqr_0.2","wCS_hete","Yes",0.2,20,0.0193324388302341,0.00808460401389744,0.517165909498797,0.0568512173184442,594.75,68.1576153215163
"positive","cqr_0.2","wCS_homo","Yes",0.1,20,0.00721510559518789,0.00453414022834534,0.381202176254344,0.0959156269629606,433.05,109.585570986426
"positive","cqr_0.2","wCS_homo","Yes",0.2,20,0.0182659339057806,0.00921744815732465,0.506760002531792,0.126873597377982,582.75,146.910597589863
"positive","cqr_0.5","uBH","No",0.1,20,0.0105488226545444,0.00576915892450838,0.397620938932144,0.0390327212723145,453.15,46.2843329182155
"positive","cqr_0.5","uBH","No",0.2,20,0.023547831854034,0.0096938555650367,0.533407807921557,0.03868056510437,615.95,47.2044545177231
"positive","cqr_0.5","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"positive","cqr_0.5","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"positive","cqr_0.5","uCS_hete","No",0.1,20,0.0104662837014967,0.00583773557464536,0.396246763286122,0.0390439624778578,451.55,46.3254789505732
"positive","cqr_0.5","uCS_hete","No",0.2,20,0.0234462694867223,0.00977935815228584,0.532298840731378,0.0383149982536872,614.6,46.719093358182
"positive","cqr_0.5","uCS_homo","No",0.1,20,0.0104662837014967,0.00583773557464536,0.396246763286122,0.0390439624778578,451.55,46.3254789505732
"positive","cqr_0.5","uCS_homo","No",0.2,20,0.0234462694867223,0.00977935815228584,0.532298840731378,0.0383149982536872,614.6,46.719093358182
"positive","cqr_0.5","wBH","Yes",0.1,20,0.0100855593155998,0.00499086672651947,0.388744027561535,0.0487665274436447,442.85,57.2255693678419
"positive","cqr_0.5","wBH","Yes",0.2,20,0.0207269421250581,0.00826727744406474,0.510913678619324,0.0509820370129809,588.4,61.7528179625496
"positive","cqr_0.5","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"positive","cqr_0.5","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"positive","cqr_0.5","wCS_hete","Yes",0.1,20,0.0101389960594491,0.00541335679511845,0.367383479087828,0.0557585596712464,418.4,63.9830569678205
"positive","cqr_0.5","wCS_hete","Yes",0.2,20,0.0205464633709383,0.00855226146429205,0.464543948779383,0.101772552534408,534.95,118.518697170309
"positive","cqr_0.5","wCS_homo","Yes",0.1,20,0.00991142849682627,0.00521376976517491,0.386838378630595,0.048005658675772,440.6,56.3255574411175
"positive","cqr_0.5","wCS_homo","Yes",0.2,20,0.0200589110175947,0.00827579923503157,0.508465082558174,0.0516575872424493,585.25,63.0003132824291
"positive","regression","uBH","No",0.1,20,0.0158523245714898,0.00758467817405036,0.393403983773672,0.0383057875071229,450.75,45.5317991830117
"positive","regression","uBH","No",0.2,20,0.0275004483418304,0.00944686976201459,0.534487576149944,0.0406009339769601,619.8,50.6708677852004
"positive","regression","uCS_dtm","No",0.1,20,0,0,0,0,0,0
"positive","regression","uCS_dtm","No",0.2,20,0,0,0,0,0,0
"positive","regression","uCS_hete","No",0.1,20,0.0158371057507933,0.00743901947540341,0.391140053295075,0.0393730840268769,448.15,46.6941616997468
"positive","regression","uCS_hete","No",0.2,20,0.0275369532307044,0.00945062085678782,0.533730900316385,0.040552064344216,618.95,50.6582720423406
"positive","regression","uCS_homo","No",0.1,20,0.0158371057507933,0.00743901947540341,0.391140053295075,0.0393730840268769,448.15,46.6941616997468
"positive","regression","uCS_homo","No",0.2,20,0.0275369532307044,0.00945062085678782,0.533730900316385,0.040552064344216,618.95,50.6582720423406
"positive","regression","wBH","Yes",0.1,20,0.0148195819051428,0.00782017194564328,0.381355426557287,0.0439627920198872,436.6,52.9512188617729
"positive","regression","wBH","Yes",0.2,20,0.0254861838598385,0.00903471363620965,0.510298372326696,0.0569286485286574,590.65,69.3429881098298
"positive","regression","wCS_dtm","Yes",0.1,20,0,0,0,0,0,0
"positive","regression","wCS_dtm","Yes",0.2,20,0,0,0,0,0,0
"positive","regression","wCS_hete","Yes",0.1,20,0.0118458950040824,0.0066506229025663,0.337970588486173,0.0919486725491957,385.75,105.740434431131
"positive","regression","wCS_hete","Yes",0.2,20,0.0259788849485331,0.00982910978710487,0.463082412914685,0.111685235352089,536.35,130.547944409223
"positive","regression","wCS_homo","Yes",0.1,20,0.0134784498605416,0.00711590664794054,0.358021932786323,0.0946898239780189,409.3,109.457562071959
"positive","regression","wCS_homo","Yes",0.2,20,0.025075780557924,0.00912691034940268,0.507407265802678,0.0569838914026713,587.1,69.6086050336942
